# This is a continuation of trace file D:\1c\Workapaces\diplom\.metadata\trace.log.bak_1
# version: 1.1
# verbose: true
# Time of creation: 2025-09-28 12:51:16.822
| Worker-8: Активация проектного контекста | 2025-09-28 12:51:16.858 | com._1c.g5.v8.dt.platform.services.core | /trace/infobase/resource-processing | com._1c.g5.v8.dt.internal.platform.services.core.PlatformServicesCore | trace | 237 | File has been synchronized with BM, going to determine list of what to update on infobase side: L/Diplom/src/CommonModules/ОбщегоНазначенияВызовСервера/ОбщегоНазначенияВызовСервера.mdo |
| Worker-8: Активация проектного контекста | 2025-09-28 12:51:16.859 | com._1c.g5.v8.dt.platform.services.core | /trace/infobase/resource-processing | com._1c.g5.v8.dt.internal.platform.services.core.PlatformServicesCore | trace | 237 | File has been synchronized with BM, going to determine list of what to update on infobase side: L/Diplom/src/DataProcessors/ВКМ_ЗаполениеГрафика/ВКМ_ЗаполениеГрафика.mdo |
| Worker-8: Активация проектного контекста | 2025-09-28 12:51:16.860 | com._1c.g5.v8.dt.platform.services.core | /trace/infobase/resource-processing | com._1c.g5.v8.dt.internal.platform.services.core.PlatformServicesCore | trace | 237 | File has been synchronized with BM, going to determine list of what to update on infobase side: L/Diplom/src/Documents/ВКМ_ВыплатаЗарплаты/ВКМ_ВыплатаЗарплаты.mdo |
| Worker-8: Активация проектного контекста | 2025-09-28 12:51:16.860 | com._1c.g5.v8.dt.platform.services.core | /trace/infobase/resource-processing | com._1c.g5.v8.dt.internal.platform.services.core.PlatformServicesCore | trace | 237 | File has been synchronized with BM, going to determine list of what to update on infobase side: L/Diplom/src/StyleItems/ЦветМеткиСиний/ЦветМеткиСиний.mdo |
| Worker-8: Активация проектного контекста | 2025-09-28 12:51:16.861 | com._1c.g5.v8.dt.platform.services.core | /trace/infobase/resource-processing | com._1c.g5.v8.dt.internal.platform.services.core.PlatformServicesCore | trace | 237 | File has been synchronized with BM, going to determine list of what to update on infobase side: L/Diplom/src/CommonModules/ОбщегоНазначенияСлужебныйКлиентСервер/ОбщегоНазначенияСлужебныйКлиентСервер.mdo |
| Worker-8: Активация проектного контекста | 2025-09-28 12:51:16.861 | com._1c.g5.v8.dt.platform.services.core | /trace/infobase/resource-processing | com._1c.g5.v8.dt.internal.platform.services.core.PlatformServicesCore | trace | 237 | File has been synchronized with BM, going to determine list of what to update on infobase side: L/Diplom/src/CommonPictures/ДокументПомеченНаУдалениеКоннекторВерх/ДокументПомеченНаУдалениеКоннекторВерх.mdo |
| Worker-8: Активация проектного контекста | 2025-09-28 12:51:16.862 | com._1c.g5.v8.dt.platform.services.core | /trace/infobase/resource-processing | com._1c.g5.v8.dt.internal.platform.services.core.PlatformServicesCore | trace | 237 | File has been synchronized with BM, going to determine list of what to update on infobase side: L/Diplom/src/CommonPictures/СправочникПВХПомеченНаУдалениеКоннекторВерх/Picture.zip |
| Worker-8: Активация проектного контекста | 2025-09-28 12:51:16.862 | com._1c.g5.v8.dt.platform.services.core | /trace/infobase/resource-processing | com._1c.g5.v8.dt.internal.platform.services.core.PlatformServicesCore | trace | 237 | File has been synchronized with BM, going to determine list of what to update on infobase side: L/Diplom/src/CommonPictures/СтрелкаВнизЗеленая/Picture.zip |
| Worker-8: Активация проектного контекста | 2025-09-28 12:51:16.863 | com._1c.g5.v8.dt.platform.services.core | /trace/infobase/resource-processing | com._1c.g5.v8.dt.internal.platform.services.core.PlatformServicesCore | trace | 237 | File has been synchronized with BM, going to determine list of what to update on infobase side: L/Diplom/src/CommonPictures/Закрепить/Picture.zip |
| Worker-8: Активация проектного контекста | 2025-09-28 12:51:16.864 | com._1c.g5.v8.dt.platform.services.core | /trace/infobase/resource-processing | com._1c.g5.v8.dt.internal.platform.services.core.PlatformServicesCore | trace | 237 | File has been synchronized with BM, going to determine list of what to update on infobase side: L/Diplom/src/CommonForms/СозданиеНачальногоОбразаСФайлами/СозданиеНачальногоОбразаСФайлами.mdo |
| Worker-8: Активация проектного контекста | 2025-09-28 12:51:16.864 | com._1c.g5.v8.dt.platform.services.core | /trace/infobase/resource-processing | com._1c.g5.v8.dt.internal.platform.services.core.PlatformServicesCore | trace | 237 | File has been synchronized with BM, going to determine list of what to update on infobase side: L/Diplom/src/CommonPictures/МетаданныеЗначениеПеречисления/Picture.png |
| Worker-8: Активация проектного контекста | 2025-09-28 12:51:16.865 | com._1c.g5.v8.dt.platform.services.core | /trace/infobase/resource-processing | com._1c.g5.v8.dt.internal.platform.services.core.PlatformServicesCore | trace | 237 | File has been synchronized with BM, going to determine list of what to update on infobase side: L/Diplom/src/CommonPictures/ОтчетТаблица/Picture.zip |
| Worker-8: Активация проектного контекста | 2025-09-28 12:51:16.865 | com._1c.g5.v8.dt.platform.services.core | /trace/infobase/resource-processing | com._1c.g5.v8.dt.internal.platform.services.core.PlatformServicesCore | trace | 237 | File has been synchronized with BM, going to determine list of what to update on infobase side: L/Diplom/src/CommonModules/НастройкаРазрешенийНаИспользованиеВнешнихРесурсовВызовСервера/НастройкаРазрешенийНаИспользованиеВнешнихРесурсовВызовСервера.mdo |
| Worker-8: Активация проектного контекста | 2025-09-28 12:51:16.866 | com._1c.g5.v8.dt.platform.services.core | /trace/infobase/resource-processing | com._1c.g5.v8.dt.internal.platform.services.core.PlatformServicesCore | trace | 237 | File has been synchronized with BM, going to determine list of what to update on infobase side: L/Diplom/src/InformationRegisters/ДополнительныеСведения/ДополнительныеСведения.mdo |
| Worker-8: Активация проектного контекста | 2025-09-28 12:51:16.867 | com._1c.g5.v8.dt.platform.services.core | /trace/infobase/resource-processing | com._1c.g5.v8.dt.internal.platform.services.core.PlatformServicesCore | trace | 237 | File has been synchronized with BM, going to determine list of what to update on infobase side: L/Diplom/src/CommonPictures/ГраницаВнутри/Picture.zip |
